index,id,create_at,timestamp(ms),text,user_name,verified,location,followers_count,extended,retweeted,quoted,keyword
25,1265799477656530944,Thu May 28 00:18:07 +0000 2020,1590625087547,RT @socalaura: @dvillella @realDonaldTrump Trump still doesn’t have a national testing plan. Guess it’s too hard☹️We’ll just have to wait &amp;… @dvillella @realDonaldTrump Trump still doesn’t have a national testing plan. Guess it’s too hard☹️We’ll just have to wait &amp; see who gets Covid-19 rather than slow the spread https://t.co/TWdIqT44Tu,RobertsMariana,False,NYC ,308,0,1,0,0
26,1265799477924896770,Thu May 28 00:18:07 +0000 2020,1590625087611,RT @andrewklavan: 🤣🤣🤣Best dishonest headline ever. Look at the graph. 🤣🤣🤣Best dishonest headline ever. Look at the graph. COVID-19 deaths have declined in Democratic congressional districts since mid-April  but remained relatively steady in districts controlled by Republicans. https://t.co/NnUcKYt67w https://t.co/R3mdZ1l8c4,GPAWALTON,False,Bonne Terre MO,1395,0,1,1,0
27,1265799478793158657,Thu May 28 00:18:07 +0000 2020,1590625087818,RT @MrSneaky18: "HIPAA"CRATIC OATH: HOW COVID-19 HAS CHANGED YOUR DOCTOR VISITS AND RIGH... https://t.co/qqgthByrDL via @YouTube "HIPAA"CRATIC OATH: HOW COVID-19 HAS CHANGED YOUR DOCTOR VISITS AND RIGH... https://t.co/qqgthByrDL via @YouTube,MrSneaky18,False,None,1134,0,1,0,0
28,1265799479535558656,Thu May 28 00:18:07 +0000 2020,1590625087995,RT @4_constitution: @Gil1957 @ProjectLincoln @secupp The CDC directed Doctors in Emergency rooms to mark deaths as COVID-19 even when they… @Gil1957 @ProjectLincoln @secupp The CDC directed Doctors in Emergency rooms to mark deaths as COVID-19 even when they weren’t. If a patient died from pneumonia but had COVID-19 it was marked as a COVID-19 death. They purposely wanted the numbers up? Why? Why aren’t you concerned with that truth?,truthpiks,False,Mouth Full of Lies?,7559,0,1,0,0
29,1265799479694745600,Thu May 28 00:18:08 +0000 2020,1590625088033,@lacade_ra @AM750 Hey! COVID-19 = COVert ID? Are we heading towards the future of a cashless-society..Did you know the Bible spoke of this? Go here! https://t.co/PRoiDKUOOZ 🚀 #coronavirus @AlArabiya_Eng @shapiro_venus @snoislelibrary @brooklynmarie @Acemaaxinfo,JasonOl28035714,False,None,1,1,0,0,0
30,1265799480525443075,Thu May 28 00:18:08 +0000 2020,1590625088231,@youre_fired2020 @JoeBiden We Better  So far COVID-19 is only the tip of the iceberg....,Amambo12Carlos,False,Florida USA,1577,0,0,0,0
31,1265799480676356096,Thu May 28 00:18:08 +0000 2020,1590625088267,RT @KenPaxtonTX: BREAKING from the Supreme Court of Texas:  “We agree with the State that a lack of immunity to COVID-19 is not itself a 'p… BREAKING from the Supreme Court of Texas:  “We agree with the State that a lack of immunity to COVID-19 is not itself a 'physical condition' that renders a voter eligible to vote by mail...”,TMarieWalters,False,Indianapolis IN,352,0,1,0,0
32,1265799480823119874,Thu May 28 00:18:08 +0000 2020,1590625088302,RT @charliekirk11: BREAKING:  The death toll for COVID-19 in America just reached 100 000 lives  While Democrats &amp; the media pounce on the… BREAKING:  The death toll for COVID-19 in America just reached 100 000 lives  While Democrats &amp; the media pounce on the opportunity to blame Trump  never forget who did this to us  The virus came from China  China lied about it  This was China's fault  Know the truth  RT!,kengt45,False,None,216,0,1,0,0
33,1265799481234251778,Thu May 28 00:18:08 +0000 2020,1590625088400,RT @DjWalt_: Covid-19 almost made me forget about the real virus in America. Covid-19 almost made me forget about the real virus in America.,7hvnz,False,None,149,0,1,0,0
34,1265799481414557699,Thu May 28 00:18:08 +0000 2020,1590625088443,RT @fabianlewis4: So Phillips really pick a fight with @DrNigelClarkeJa over allowing Jamaica to Barrow more money essentially to help peop… So Phillips really pick a fight with @DrNigelClarkeJa over allowing Jamaica to Barrow more money essentially to help people affected by COVID-19 and to plug the massive shortfall in the budget? Lol lol. He really thinks he can win that argument? If so he is dumber than I thought,st_western,False,Western St Andrew,208,0,1,0,0
35,1265799481724932096,Thu May 28 00:18:08 +0000 2020,1590625088517,RT @wdunlap: @JesseKellyDC CDC admitted COVID-19 mortality rate is VERY LOW like a bad flu! This is age of irresponsible government/media c… @JesseKellyDC CDC admitted COVID-19 mortality rate is VERY LOW like a bad flu! This is age of irresponsible government/media creating Gloom &amp; Doom Drama 50 million American families are suffering  businesses are closing &amp; suicide rates are skyrocketing. END THIS PANIC! https://t.co/L4CsWPPk4q,drea4liberty,False,USA,5214,0,1,0,0
36,1265799481825595399,Thu May 28 00:18:08 +0000 2020,1590625088541,RT @mmpadellan: TODAY  on the day American deaths from COVID-19 passed the 100 000 threshold  Donald trump tweeted or retweeted dozens of t… TODAY  on the day American deaths from COVID-19 passed the 100 000 threshold  Donald trump tweeted or retweeted dozens of times today about: - Obama - Twitter - FISA - himself  NOT ONE TWEET about the loss of American lives.  HE IS A DISGRACE.,janieappleseed,False,None,266,0,1,0,0
37,1265799482144362497,Thu May 28 00:18:08 +0000 2020,1590625088617,RT @danwootton: Why are innocent children being used as political pawns? This propaganda video of kids thanking Nicola Sturgeon for her aby… Why are innocent children being used as political pawns? This propaganda video of kids thanking Nicola Sturgeon for her abysmal response to the Covid-19 crisis has been described as "like something out of North Korea". Imagine the outrage if Boris did this @talkRADIO. https://t.co/6DLMmqGtB4,haining84,False,Copland Rear/Pub,1041,0,1,0,0
38,1265799482412871685,Thu May 28 00:18:08 +0000 2020,1590625088681,RT @KenPaxtonTX: BREAKING from the Supreme Court of Texas:  “We agree with the State that a lack of immunity to COVID-19 is not itself a 'p… BREAKING from the Supreme Court of Texas:  “We agree with the State that a lack of immunity to COVID-19 is not itself a 'physical condition' that renders a voter eligible to vote by mail...”,GinaS34221899,False,None,591,0,1,0,0
39,1265799482672910338,Thu May 28 00:18:08 +0000 2020,1590625088743,RT @Corona_Bot__: CONFIRMED: Sonic tests positive for COVID-19 https://t.co/NUZCTZvShy CONFIRMED: Sonic tests positive for COVID-19 https://t.co/NUZCTZvShy,Dolphn09,False,Houston,135,0,1,0,0
40,1265799482928742403,Thu May 28 00:18:08 +0000 2020,1590625088804,RT @TeaPainUSA: Can you imagine how many lives would have been saved and how much better off our economy would be if Trump had spent a tent… Can you imagine how many lives would have been saved and how much better off our economy would be if Trump had spent a tenth of the energy on COVID-19 that he did complainin' about gettin' fact-checked on Twitter?,oharecl,False,United States,646,0,1,0,0
41,1265799482987491328,Thu May 28 00:18:08 +0000 2020,1590625088818,RT @RepGosar: So we have the ability to trace interactions between individuals with COVID-19 but not Jeffrey Epstein's pedophile ring? So we have the ability to trace interactions between individuals with COVID-19 but not Jeffrey Epstein's pedophile ring?,TheChrisReid7,False,NC,130,0,1,0,0
42,1265799482962141184,Thu May 28 00:18:08 +0000 2020,1590625088812,RT @GOPChairwoman: “Michigan Gov. Gretchen Whitmer’s office gave the 'green light' for a COVID-19 contact tracing 'arrangement' she denied… “Michigan Gov. Gretchen Whitmer’s office gave the 'green light' for a COVID-19 contact tracing 'arrangement' she denied knowledge of and canceled amid outcry over a contractor with Democratic ties.”   Whitmer lied and she needs to address it immediately. https://t.co/og6CD9RSwp,pappymax,False,None,338,0,1,0,0
43,1265799483767558154,Thu May 28 00:18:09 +0000 2020,1590625089004,RT @Justsaytruthnow: .@NYGovCuomo signed legislation last month that protects executives from lawsuits -- just as he is under continued cri… .@NYGovCuomo signed legislation last month that protects executives from lawsuits -- just as he is under continued criticism for his March 25 order (since deleted) requiring nursing homes to take in COVID-19 patients.  But never fear "The Way Back Machine" is forever.  👇👇👇👇👇 https://t.co/PFWCgREJOY,CH47418725,False,None,3630,0,1,0,0
44,1265799484233170949,Thu May 28 00:18:09 +0000 2020,1590625089115,RT @TheFirstonTV: .@NYGovCuomo now BLAMING nursing homes for taking COVID-19 patients after he ORDERED them to take in COVID-19 patients.… .@NYGovCuomo now BLAMING nursing homes for taking COVID-19 patients after he ORDERED them to take in COVID-19 patients.  This guy is unbelievable.  https://t.co/P1TVa8jpG5,DeclanGleeson4,False,None,199,0,1,0,0
45,1265799484862160897,Thu May 28 00:18:09 +0000 2020,1590625089265,Help in sending medicines to my father stuck in US. @DHLexpress @DHLUS @DhaawanSunjoy Hello Everyone I need urgent help. My tracking Id: 1675054275.I had sent medicines to my father who is stuck in US due to Covid-19 crisis. I sent him the medicines on 14th May and was informed,KTusharendu,False,Bengaluru South India,0,1,0,0,0
46,1265799485432762369,Thu May 28 00:18:09 +0000 2020,1590625089401,RT @Jaye_inUSA: FACT-CHECK: As of Mid-April  COVID-19 deaths are over 3 times higher in Democratic held Congressional districts than in Rep… FACT-CHECK: As of Mid-April  COVID-19 deaths are over 3 times higher in Democratic held Congressional districts than in Republican held districts.         🦠 MISLEADING INFORMATION IS BELOW:  @Twitter 👇🏻👇🏻👇🏻👇🏻👇🏻 COVID-19 deaths have declined in Democratic congressional districts since mid-April  but remained relatively steady in districts controlled by Republicans. https://t.co/NnUcKYt67w https://t.co/R3mdZ1l8c4,cajun4trump,False,Baton Rouge LA,81427,0,1,1,0
47,1265799485705371649,Thu May 28 00:18:09 +0000 2020,1590625089466,RT @mmpadellan: New Zealand has ZERO COVID-19 cases being treated in hospitals. ZERO.  Imagine if we had a competent Woman as President.  I… New Zealand has ZERO COVID-19 cases being treated in hospitals. ZERO.  Imagine if we had a competent Woman as President.  IMAGINE. https://t.co/j6VXeIgpJ5,Corvis00,False,None,71,0,1,0,0
48,1265799485986234368,Thu May 28 00:18:09 +0000 2020,1590625089533,RT @Smoke56895160: REPORT: Washington State Includes Multiple Shooting Deaths in COVID-19 Numbers — 80% of Deaths Listed Raise Questions REPORT: Washington State Includes Multiple Shooting Deaths in COVID-19 Numbers — 80% of Deaths Listed Raise Questions,Astrocerf1,False,None,817,0,1,0,0
49,1265799486087016448,Thu May 28 00:18:09 +0000 2020,1590625089557,RT @NoahMHorwitz: Texas Supreme Court announces* that lack of immunity to COVID-19 does not entitle a voter to an absentee ballot.  *Decisi… Texas Supreme Court announces* that lack of immunity to COVID-19 does not entitle a voter to an absentee ballot.  *Decision announced via remote proceedings because of lack of immunity to COVID-19.,cinemagypsy,False,Austin Texas,144,0,1,0,0
50,1265799486246400001,Thu May 28 00:18:09 +0000 2020,1590625089595,RT @televisionjam: Coming up in #PTN: Jamaica records 5 new COVID-19 cases within the last 24 hours and 12 new recoveries.  The latest figu… Coming up in #PTN: Jamaica records 5 new COVID-19 cases within the last 24 hours and 12 new recoveries.  The latest figures are 569 confirmed cases and 279 recoveries. #TVJNews,onlyrosh876,False,Jamaica,16,0,1,0,0
51,1265799486393266177,Thu May 28 00:18:09 +0000 2020,1590625089630,RT @YAlabaster: What a fucking 🤡 What a fucking 🤡 .@NYGovCuomo now BLAMING nursing homes for taking COVID-19 patients after he ORDERED them to take in COVID-19 patients.  This guy is unbelievable.  https://t.co/P1TVa8jpG5,davequigon,False,None,582,0,1,1,0
52,1265799488230371334,Thu May 28 00:18:10 +0000 2020,1590625090068,RT @brithume: The Most Important COVID-19 Statistic: 43% Of U.S. Deaths Are From 0.6% Of The Population https://t.co/LQcJLNFvp6 The Most Important COVID-19 Statistic: 43% Of U.S. Deaths Are From 0.6% Of The Population https://t.co/LQcJLNFvp6,JosephVrabec,False,None,623,0,1,0,0
53,1265799488469209088,Thu May 28 00:18:10 +0000 2020,1590625090125,RT @BrianSimsPA: 3) Republican Leadership must be investigated by the Attorney General to determine which laws and ethics codes have been v… 3) Republican Leadership must be investigated by the Attorney General to determine which laws and ethics codes have been violated  and 4) House Speaker Mike Turzai and any Members of Republican Leadership that withheld information about positive tests for Covid-19 must resign.,lizditz,False,San Mateo County California,9149,0,1,0,0
54,1265799488750399488,Thu May 28 00:18:10 +0000 2020,1590625090192,RT @NoahMHorwitz: Texas Supreme Court announces* that lack of immunity to COVID-19 does not entitle a voter to an absentee ballot.  *Decisi… Texas Supreme Court announces* that lack of immunity to COVID-19 does not entitle a voter to an absentee ballot.  *Decision announced via remote proceedings because of lack of immunity to COVID-19.,EastCoastJumper,False,San Francisco ,18,0,1,0,0
55,1265799489115176960,Thu May 28 00:18:10 +0000 2020,1590625090279,RT @AntoineVanner: Worth a visit when Covid-19 is just a memory? Thanks @18thCand19thC Worth a visit when Covid-19 is just a memory? Thanks @18thCand19thC Buried at #PèreLachaise Cemetery: 15 Famous Eighteenth- and Nineteen-century People - There are many people buried at Père Lachaise Cemetery in Paris. However  this post provides a list of fifteen ... https://t.co/5oNXvePEAQ #cemetery #19thcentury https://t.co/eB1BxwzV5f,VetterLibby,False,Sedona AZ,9414,0,1,1,0
56,1265799493011664896,Thu May 28 00:18:11 +0000 2020,1590625091208,RT @RepGosar: So we have the ability to trace interactions between individuals with COVID-19 but not Jeffrey Epstein's pedophile ring? So we have the ability to trace interactions between individuals with COVID-19 but not Jeffrey Epstein's pedophile ring?,Vinman713,False,None,1262,0,1,0,0
57,1265799493225787392,Thu May 28 00:18:11 +0000 2020,1590625091259,RT @dubsndoo: The horrid death rates due to Covid-19 make it clear that Quebec has no clue how to deal with the pandemic. 89 more died toda… The horrid death rates due to Covid-19 make it clear that Quebec has no clue how to deal with the pandemic. 89 more died today making a total of 4200 in Quebec alone. Two thirds of all deaths in Canada are in Quebec. Why is the media giving Quebec a free ride?,88TO62,False,Toronto,40,0,1,0,0
58,1265799493405904898,Thu May 28 00:18:11 +0000 2020,1590625091302,RT @PhilippineStar: Baybay City  Leyte records its first COVID-19 case on Wednesday evening.  The patient was among the first batch of resi… Baybay City  Leyte records its first COVID-19 case on Wednesday evening.  The patient was among the first batch of residents who returned to the province under the Balik Probinsya Program  according to Mayor Jose Carlos Cari. https://t.co/6Mb9dpE8r4,bhealourelyn,False,Unknown ,807,0,1,0,0
59,1265799493531959304,Thu May 28 00:18:11 +0000 2020,1590625091332,RT @SaldanaAustinTX: Join us for our LIVE HABLA Platica TOMORROW  Thurs  May 28th 1pm on our HABLA Facebook page for an important discussio… Join us for our LIVE HABLA Platica TOMORROW  Thurs  May 28th 1pm on our HABLA Facebook page for an important discussion re: How Minority Youth Service Organizations Are Addressing Disparities in Education &amp; Access to Technology During COVID-19  RSVP here: https://t.co/XNf0NVoImg https://t.co/rhuU8Rqnl3,AusHispanicVote,False,Austin TX,1236,0,1,0,0
